Level,Type,Code,Title,Subtitle,Entity Type
1,Folder,MEPF,MEPF – AI Estimation Trust Requirements,,
2,Group,MEPF.D3010,Mechanical – D3010 Ductwork,,
3,Item,MEPF.D3010.REQ-01,Ductwork Dimensions and LOD,"Ductwork elements modelled to LOD 300 with cross-section, routing and connections",
3,Item,MEPF.D3010.REQ-02,Ductwork Material Specification,"Material property assigned from approved schedule (galvanised steel, SS, aluminium, GRP)",
3,Item,MEPF.D3010.REQ-03,Ductwork System Classification,"System type (supply, extract, exhaust, smoke) assigned per MEP coding structure",
3,Item,MEPF.D3010.REQ-04,Ductwork Geometric Compliance LOD 350,Full LOD 350 geometry with insulation envelope for coordination clash detection,
3,Item,MEPF.D3010.REQ-05,Ductwork Insulation and Fire Rating,Fire rating and insulation spec for ductwork passing through fire compartments,
2,Group,MEPF.E3010,Electrical – E3010 Cable Trays,,
3,Item,MEPF.E3010.REQ-01,Cable Tray Geometry and Routing LOD 300,"Tray width, depth, routing and support bracket spacing modelled to LOD 300",
3,Item,MEPF.E3010.REQ-02,Cable Tray Material and Finish Specification,"Material and surface finish (HDG steel, SS316, PVC-coated) per corrosion risk zone",
3,Item,MEPF.E3010.REQ-03,Cable Tray Load Classification,Load rating (Light / Medium / Heavy) consistent with approved cable schedule,
3,Item,MEPF.E3010.REQ-04,Earthing and Bonding Tag,"Earthing designation (primary earth path, supplementary bond, or none) per arrangement drawing",
2,Group,MEPF.D2010,Plumbing – D2010 Pipework,,
3,Item,MEPF.D2010.REQ-01,Pipework Material and Pressure Rating,Material and design pressure (bar) assigned per mechanical specification,
3,Item,MEPF.D2010.REQ-02,Pipe System and Flow Direction Classification,"System type (DCW, DHW, HF, HR, CHW) and flow direction per approved schematics",
3,Item,MEPF.D2010.REQ-03,Pipework Insulation Specification,"Insulation type and thickness for thermal, fire and acoustic lagging requirements",
3,Item,MEPF.D2010.REQ-04,Valves Isolators and Accessories LOD 300,In-line valves modelled as discrete LOD 300 elements with duty/standby and data sheet ref,
2,Group,MEPF.D4010,Fire – D4010 Sprinkler Heads,,
3,Item,MEPF.D4010.REQ-01,Sprinkler Head Location and Coverage Zone,Heads modelled at design position LOD 300 assigned to hydraulic coverage zone,
3,Item,MEPF.D4010.REQ-02,Sprinkler Head Type and Temperature Rating,"Head type (pendant, upright, concealed) and temperature rating per zone hazard class",
3,Item,MEPF.D4010.REQ-03,Sprinkler Pipework and Zone Valve Attribution,"Distribution pipework LOD 300, zone valves as discrete objects with valve reference",
3,Item,MEPF.D4010.REQ-04,Sprinkler Design Standard and Hazard Class,Governing standard (LPC/BS EN 12845/NFPA 13) and occupancy hazard class per zone,
2,Group,MEPF.H5000,Handover – Stage 5 As-Built and COBie,,
3,Item,MEPF.H5000.REQ-01,As-Built IFC Model Update,"Contractor updates IFC model to reflect actual installed positions, sizes and materials",
3,Item,MEPF.H5000.REQ-02,COBie Data Drop – MEPF Assets,"COBie spreadsheet populated with asset data for all MEPF elements: type, warranty, manufacturer",
3,Item,MEPF.H5000.REQ-03,O&M Manual References Linked to Model,Operation and maintenance manual references attached to relevant IFC elements as document links,
3,Item,MEPF.H5000.REQ-04,Commissioning Records and Test Certificates,Commissioning test certificates and balancing records linked to relevant IFC system elements,
